household_id,record_id,record_type,category,subcategory,amount,currency,transaction_date,description,payment_method,payer_payee,is_recurring,recurrence_interval,household_size,location_city,location_state,location_postal_code,location_country
HH187,REC337,income,investment,mutual_funds,215,AUD,2024-03-16,Mutual fund dividend,bank_transfer,Vanguard Australia,false,,1,Sydney,NSW,2000,AUS
HH188,REC338,expense,utilities,internet,62.9,USD,2024-03-12,Monthly internet bill,bank_transfer,Comcast,true,monthly,2,Philadelphia,PA,19103,USA
HH189,REC339,income,gift,,1200,USD,2024-02-10,Wedding gift from family,check,Family Members,false,,6,Indianapolis,IN,46204,USA
HH190,REC340,income,rental_income,house,2250,USD,2024-03-01,March house rent received,bank_transfer,Tenant Evans,true,monthly,4,Las Vegas,NV,89101,USA
HH191,REC341,expense,education,school_fees,410,USD,2024-03-15,Quarterly school fees,bank_transfer,Greenwood School,true,quarterly,3,Raleigh,NC,27601,USA
HH192,REC342,expense,miscellaneous,charity,100,USD,2024-03-10,March charity donation,bank_transfer,United Way,false,,1,San Francisco,CA,94105,USA
HH193,REC343,expense,rent,,2050,USD,2024-03-01,March rent paid,bank_transfer,Citywide Realty,true,monthly,2,Baltimore,MD,21201,USA
HH194,REC344,income,salary,,3820,USD,2024-03-29,Salary for March,bank_transfer,Retail Group,true,monthly,1,Charlotte,NC,28202,USA
HH195,REC345,expense,insurance,home,120,USD,2024-03-12,Home insurance March,bank_transfer,Liberty Mutual,true,monthly,2,Nashville,TN,37219,USA
HH196,REC346,expense,healthcare,specialist_visit,210,USD,2024-03-05,Eye doctor appointment,check,Vision Clinic,false,,3,Minneapolis,MN,55401,USA
HH197,REC347,income,side_job,,520,USD,2024-03-23,Teaching music lessons,cash,Local Students,false,,1,Fresno,CA,93721,USA
HH198,REC348,expense,groceries,fruits,38.6,USD,2024-03-18,Fruit shopping at Kroger,debit_card,Kroger Market,false,,1,Cincinnati,OH,45202,USA
HH199,REC349,income,freelance,translation,1080,EUR,2024-04-08,Translation project payment,bank_transfer,Espana Translations,false,,2,Madrid,MD,28001,ESP
HH200,REC350,expense,education,course_fees,980,USD,2024-03-29,Online course enrollment,credit_card,Coursera,false,,12,Detroit,MI,48226,USA
